"","year","name","cluster","avgScore"
"5398","2004","Hyderabad Blues 2",810,2.583
"5399","1919","Daddy Long Legs",443,3.165
"5400","1975","Good Times: Season 3",618,3.859
"5401","2004","Dodgeball: A True Underdog Story",377,3.374
"5402","1978","Days of Heaven",259,3.574
"5403","1999","Light It Up",731,3.215
"5404","2005","Usher: Rhythm City: Vol. 1: Money,Power,Respect",582,3.604
"5405","2002","The Business of Fancydancing",307,2.932
"5406","1987","Married... with Children: Season 1",70,3.749
"5407","1998","Still Breathing",359,3.001
"5408","1991","Star Trek VI: The Undiscovered Country: Bonus Material",126,3.939
"5409","1998","George Clinton: The Mothership Connection",672,3.199
"5410","2000","Shooting War: World War II Combat Cameramen",669,3.525
"5411","1977","Alaap",744,2.779
"5412","2004","Possessed",471,2.684
"5413","1996","Fudoh: The New Generation",276,3.344
"5414","1996","Friends: Season 3",167,4.059
"5415","1999","Mickey Blue Eyes",6,3.05
"5416","1945","Back to Bataan",507,3.781
"5417","1995","Tales From the Hood",87,2.851
"5418","2004","Queensryche: The Art of Live",190,3.177
"5419","1991","Cirque du Soleil: Nouvelle Experience",617,3.486
"5420","2003","Dog Gone",685,2.781
"5421","1995","Empire Records: Remix! Special Fan Edition",317,3.73
"5422","1929","Piccadilly",783,3.063
"5423","2002","Invincible",67,2.879
"5424","2000","Pukar",299,2.923
"5425","1999","Best Laid Plans",524,2.968
"5426","2001","RoboCop: Resurrection",501,3.062
"5427","1992","Crisscross",297,2.888
"5428","2002","Teddy Bears' Picnic",417,2.278
"5429","1967","Elvira Madigan",425,2.904
"5430","1996","Sleepers",636,3.73
"5431","1996","Emperor's Shadow",578,3.337
"5432","1976","The Muppet Show: Season 1",856,4.212
"5433","1985","Turk 182!",832,3.491
"5434","2000","Mission to Mars",328,2.995
"5435","1988","Biloxi Blues",171,3.429
"5436","1986","Seize the Day",353,2.294
"5437","2004","Clara's Summer",839,2.578
"5438","2001","Princesa",299,2.908
"5439","2001","Yaadein",304,3.071
"5440","1999","The Extreme Adventures of Super Dave",187,2.152
"5441","1976","The Marquise of O",44,2.93
"5442","2004","Libertarias",544,3.03
"5443","1970","Where's Poppa?",142,3.082
"5444","1998","Cousin Bette",99,2.994
"5445","1999","Farscape: Season 1",302,4.022
"5446","2003","Jandek on Corwood",730,3.466
"5447","1998","No Looking Back",53,2.873
"5448","2002","Jackass: The Movie",210,3.208
"5449","2004","Ab Tak Chhappan",674,3.667
"5450","1997","Wacky Babies & Tender Times: Marty Stouffer's Wild America",201,2.914
"5451","1987","The Celts: Rich Traditions and Ancient Myths",177,3.167
"5452","1969","Michael Palin's Personal Best",98,2.619
"5453","2001","Angel Links",690,3.048
"5454","2000","Time and Tide",659,2.988
"5455","1999","Outside Providence",63,3.252
"5456","2004","Sid Caesar Collection: The Fan Favorites",657,2.803
"5457","2000","Project: Human Weapon",564,1.955
"5458","1997","Directors: Rob Reiner",246,2.871
"5459","2000","Code Unknown",297,2.799
"5460","1998","Tess of the D'Urbervilles",364,3.35
"5461","1998","The Apostate",629,2.299
"5462","1999","The Messenger: The Story of Joan of Arc",210,3.236
"5463","2002","Jeremiah: Season 1",26,3.609
"5464","1999","RKO 281",832,3.367
"5465","1968","The Scalphunters",553,3.175
"5466","1993","Harry Connick Jr.: The New York Big Band Concert",295,3.2
"5467","2004","Intimate Strangers",639,3.014
"5468","1974","Thunderbolt and Lightfoot",240,3.45
"5469","1959","The Best of Everything",619,3.242
"5470","1979","The Jesus Film",347,3.353
"5471","1992","Mystery Science Theater 3000: The Killer Shrews",854,3.937
"5472","1987","Spaceballs",333,3.538
"5473","1969","The Undefeated",329,3.667
"5474","1999","Gloria",737,2.553
"5475","1999","Midsomer Murders: Death of a Stranger",435,3.979
"5476","1959","Hiroshima Mon Amour",843,3.75
"5477","1988","Twins",42,3.262
"5478","1966","The Game Is Over",133,2.299
"5479","2003","Shane McGowan: If I Should Fall From Grace",635,3.605
"5480","1982","Scarlet Pimpernel",474,3.692
"5481","1993","Fortress",139,2.947
"5482","1989","Gundam 0080: War in the Pocket",857,3.69
"5483","2002","Naked Weapon",128,3.333
"5484","2000","Har dil jo Pyar karega...",242,2.973
"5485","2000","Chuck Jones: Extremes and in Betweens,a Life in Animation",241,3.59
"5486","1977","Raid on Entebbe",573,3.571
"5487","1993","Twenty Bucks",538,3.136
"5488","1977","Kentucky Fried Movie",834,3.32
"5489","1966","After the Fox",488,3.03
"5490","1989","The Grateful Dead: Truckin' Up to Buffalo",52,3.669
"5491","1999","Victim",817,2.584
"5492","1965","10th Victim",320,3.045
"5493","1993","Sommersby",772,3.426
"5494","1979","Connections 2",22,3.899
"5495","2001","Just Can't Get Enough",852,2.437
"5496","2004","I,Robot",428,3.716
"5497","1944","Memphis Belle",736,4.167
"5498","1968","Never a Dull Moment",25,2.857
"5499","1986","Soul Man",497,2.644
"5500","1996","The Bible Collection: Samson and Delilah",513,3
"5501","1930","Check and Double Check with Amos 'n' Andy",709,2.537
"5502","1999","Dave Matthews Band: Listener Supported",787,3.634
"5503","1979","Salem's Lot",835,3.449
"5504","1976","Charlie's Angels: Angels Under Covers",22,3.217
"5505","1995","Feast of July",458,3.048
"5506","1942","The Talk of the Town",340,3.765
"5507","2002","Dragon Ball: Fortune Teller Baba Saga",226,3.709
"5508","1996","George Carlin: Back in Town",316,3.847
"5509","1978","The End",569,3.084
"5510","1982","Cheers: Season 1",26,3.883
"5511","1975","Dolemite",625,3.19
"5512","1987","Taffin",381,2.872
"5513","1990","Mr. Bean: The Whole Bean",124,3.902
"5514","1999","Boy's Choir",301,2.577
"5515","1964","Dr. Strangelove",246,4.117
"5516","1999","American Movie",511,3.606
"5517","1995","A Tribute to Stevie Ray Vaughan",196,3.782
"5518","1976","The Pink Panther Strikes Again",368,3.831
"5519","1999","The West Wing: Season 1",332,4.317
"5520","2001","Reboot: Daemon Rising",111,3.554
"5521","1988","Stealing Home",466,3.39
"5522","2004","The Machinist",553,3.369
"5523","2004","Conspiracy of Silence",176,3.034
"5524","1995","Tales from the Crypt: Deadly Duo",128,3.183
"5525","2001","Mad Love",386,3.231
"5526","2005","Malice Aforethought",444,2.931
"5527","1953","Humphrey Bogart: Beat the Devil / Call It Murder",32,2.845
"5528","2003","The Triplets of Belleville",555,3.676
"5529","2001","Britney Spears: Live from Las Vegas",32,3.14
"5530","2000","Stargate SG-1: Season 4",639,4.338
"5531","1997","The Assignment",5,3.435
"5532","1999","Purgatory",209,3.433
"5533","2003","MXP: Most Extreme Primate",286,3.247
"5534","1968","The Best of Rowan & Martin's Laugh-In 2",542,3.373
"5535","1983","A Night with Lou Reed",358,2.907
"5536","1998","Corrs: Live at The Royal Albert Hall",30,3.708
"5537","2001","Avalon",130,2.996
"5538","1979","Monty Python's Life of Brian",267,3.917
"5539","2004","The 4400: Season 1",454,4.127
"5540","2001","Queensryche: Operation Live Crime",190,3.905
"5541","1995","Die Hard: With a Vengeance: Bonus Material",621,3.682
"5542","1987","Making Mr. Right",312,2.612
"5543","1957","20 Million Miles to Earth",77,3.22
"5544","1989","See No Evil,Hear No Evil",275,3.409
"5545","2002","Bad Company",774,3.282
"5546","1953","The Blue Gardenia",173,3.247
"5547","1965","Village of the Giants",203,2.455
"5548","1986","Legacy of Rage",752,2.338
"5549","2001","Curb Your Enthusiasm: Season 2",135,4.268
"5550","1998","Fogi Is a Bastard",686,2.791
"5551","2002","The Year That Trembled",448,2.344
"5552","2005","Mobile Suit Gundam SEED the Movie 2: The Far-Away Dawn",771,3.425
"5553","2000","Best of Travels in Europe with Rick Steves: Germany,Austria & Switzerland",391,3.21
"5554","1945","They Were Expendable",528,3.807
"5555","1990","Earth,Wind & Fire: Live in Japan",374,2.951
"5556","1991","Silk Stalkings: Season 1",110,3.496
"5557","1990","Q & A",432,3.106
"5558","1993","Sesame Street's 25th Birthday: A Musical Celebration",368,3.548
"5559","1985","Richard Pryor: Live & Smokin'",150,3.797
"5560","2002","Sorority Boys",75,3.151
"5561","1967","Cool Hand Luke",7,4.138
"5562","1985","Ladyhawke",823,3.739
"5563","1970","Woodstock: 3 Days of Peace & Music",713,3.806
"5564","2000","Burnt Money",734,3.409
"5565","2005","Dora the Explorer: It's a Party!",373,3.854
"5566","1979","Penitentiary",209,2.917
"5567","2003","Extreme Rollercoasters",18,3.011
"5568","1988","Not of This Earth",729,2.478
"5569","1939","The Adventures of Sherlock Holmes",179,3.903
"5570","1999","Sing Faster: The Stagehands' Ring Cycle",332,3.241
"5571","1976","Rocky",301,3.771
"5572","1998","Millennium: Season 3",77,3.817
"5573","2004","David Byrne: Live at Union Chapel",492,3.533
"5574","1945","A Walk in the Sun",49,2.993
"5575","2000","Bob Marley: Sun Is Shining: The Remixes",450,1.926
"5576","1980","Melvin and Howard",730,3.024
"5577","1957","Throne of Blood",95,4.021
"5578","1967","The Firemen's Ball",250,3.216
"5579","1984","Miami Vice: Season 1",858,3.704
"5580","1982","Countryman",857,3.437
"5581","2004","Perfect Husband: The Laci Peterson Story",210,2.948
"5582","1980","Star Wars: Episode V: The Empire Strikes Back",200,4.544
"5583","2005","The Marksman",464,2.811
"5584","1987","Street Trash",333,2.87
"5585","1937","Drole de Drame",841,2.975
"5586","1969","Katzelmacher",680,2.671
"5587","1984","Johnny Dangerously",757,3.558
"5588","2001","Jackie Chan Adventures: The Dark Hand Returns",161,3.35
"5589","2002","The Time Machine",138,3.08
"5590","2005","VeggieTales: Duke and the Great Pie War",346,3.991
"5591","1986","Sid & Nancy",846,3.493
"5592","1975","Midnight Blue: The Deep Throat Special Edition: Vol. 1: 1975 to 1987",397,2.143
"5593","1999","Durango Kids",560,2.948
"5594","1978","Toolbox Murders",644,2.578
"5595","2001","Steve Vai: Live at the Astoria",391,3.625
"5596","1992","Alien 3: Collector's Edition: Bonus Material",175,3.787
"5597","2005","Lupin the 3rd: Farewell to Nostradamus",170,2.896
"5598","1998","Lain #2: Knights",718,3.842
"5599","2004","George Harrison: The Dark Horse Years 1976-1992",210,3.409
"5600","2005","Bunty Aur Babli",857,3.581
"5601","1962","The Manchurian Candidate",553,3.858
"5602","1996","Last Dance",442,3.072
"5603","1991","JFK: Special Edition: Bonus Material",561,3.591
"5604","2003","Dorm Daze",516,2.441
"5605","1946","Children of Paradise",547,3.979
"5606","1988","Picture of a Nymph",264,2.623
"5607","1996","The Hunchback of Notre Dame",221,3.445
"5608","1962","The Lucy Show",375,3.435
"5609","2003","Blue's Clues: Blue Takes You to School",238,3.71
"5610","1961","The Bruce Brown Surf Collection: Surfing Hollow Days",186,3.49
"5611","2000","Rangers",178,2.247
"5612","1996","Kids in the Hall: Brain Candy",792,3.527
"5613","1994","Loaded",54,2.153
"5614","2000","Best in Show",218,3.783
"5615","1994","Danielle Steel's A Perfect Stranger",20,3.308
"5616","1966","The Blue Max",173,3.642
"5617","2000","Hanging Up",466,2.858
"5618","2003","Russkies",859,2.706
"5619","1946","Fright Fest: Vincent Price",364,3.365
"5620","1987","Tough Guys Don't Dance",4,1.94
"5621","1994","Naked Gun 33 1/3: The Final Insult",128,3.354
"5622","1958","Plan 9 from Outer Space",743,2.881
"5623","2003","Daredevil: Bonus Material",286,2.913
"5624","1999","Sexo,Pudor y Lagrimas",41,3.294
"5625","1999","At First Sight",362,3.199
"5626","2000","Cyndi Lauper: Twelve Deadly Cyns ...  and Then Some",93,3.489
"5627","1955","All That Heaven Allows",551,3.652
"5628","1996","The Nutty Professor",569,3.163
"5629","1975","Shampoo",192,3.048
"5630","2000","Blue's Big Musical Movie: Blue's Clues",238,3.722
"5631","1986","Gone to Texas",452,2.946
"5632","2000","Midsomer Murders: Judgment Day",199,3.926
"5633","1999","Tuesdays with Morrie",112,3.857
"5634","2004","The Touch",107,2.716
"5635","1998","The Mafia: An Expose - Gotti and a Mafia Resume",31,2.333
"5636","1988","Married... with Children: Season 3",70,3.974
"5637","1997","Vanishing Point",522,2.809
"5638","2001","Baran",65,3.401
"5639","1943","For Whom the Bell Tolls",179,3.533
"5640","1990","Once a Thief",670,3.064
"5641","1995","Voodoo",741,2.351
"5642","1990","Henry: Portrait of a Serial Killer",200,3.203
"5643","1994","Naked in New York",128,2.486
"5644","2004","Melinda and Melinda",262,2.943
"5645","1990","Repossessed",102,2.917
"5646","2001","61*",460,3.844
"5647","1996","Feeling Minnesota",475,2.735
"5648","2004","Creature Comforts: Season 1",181,3.415
"5649","2002","Cybermutt",3,3.03
"5650","1999","Buena Vista Social Club",753,3.764
"5651","1992","Boomerang",28,3.126
"5652","1949","Twelve O'Clock High",326,3.826
"5653","1973","The Night Stalker / The Night Strangler",126,3.686
"5654","1973","Chino",593,2.984
"5655","1997","The Harmonists",189,3.699
"5656","1986","Star Trek IV: The Voyage Home",201,3.706
"5657","2003","Billabong Odyssey",499,3.65
"5658","2001","The Experiment",59,3.427
"5659","1988","Two Moon Junction",217,2.894
"5660","2004","Bite Me!",523,2.179
"5661","1989","The Best of Dr. Seuss",619,3.448
"5662","1996","La Ceremonie",35,3.326
"5663","2002","The Cat's Meow",307,2.9
"5664","1983","Fire and Ice",659,3.143
"5665","1987","The Secret of My Success",52,3.459
"5666","2002","Zone of the Enders: Idolo",441,3.512
"5667","2005","Son of the Mask",743,2.888
"5668","1987","Square Dance",285,2.39
"5669","2003","World Poker Tour: Season 2",377,3.406
"5670","2002","Naqoyqatsi",304,3.173
"5671","1996","Secrets & Lies",754,3.854
"5672","1997","The Borrowers",375,3.388
"5673","2004","Batman: Holy Batmania",104,3.038
"5674","2000","Olive Juice",296,2.327
"5675","1998","Hellcab",574,2.78
"5676","2000","Maggie and the Ferocious Beast: Adventures in Nowhere Land",463,2.996
"5677","1994","Greater Tuna",465,3.182
"5678","1994","Saved by the Bell: The New Class: Season 2",148,2.684
"5679","2002","Mr. Smith Gets a Hustler",94,2.591
"5680","2003","Dragon Ball GT: The Lost Episodes",226,3.954
"5681","1983","High School USA",714,2.897
"5682","1922","Oliver Twist",461,3.03
"5683","1943","Sahara",758,3.752
"5684","1969","Dark Shadows: Vol. 17",327,3.667
"5685","2001","Pride FC: Grand Prix Finals",162,3.488
"5686","1993","Nowhere to Run",454,2.927
"5687","2002","Prisoner of Paradise",41,3.388
"5688","2004","Extreme Engineering: Boston's Big Dig",324,3.599
"5689","1982","Forced Vengeance",589,3.062
"5690","2002","National Geographic: Through the Lens",374,3.069
"5691","1941","Deanna Durbin: It Started with Eve / Can't Help Singing",169,3.402
"5692","2000","Dude,Where's My Car?",780,2.979
"5693","1977","Doctor Who: The Talons of Weng-Chiang",277,3.84
"5694","1992","In the Soup",159,3.101
"5695","2003","Bad Santa",65,3.137
"5696","1999","The X-Files: Season 7",329,4.197
"5697","2005","The Big Black Comedy Show: Vol. 2",227,3.018
"5698","1985","Fool for Love",628,2.811
"5699","2002","Joshua",457,3.823
"5700","2003","Law & Order: Season 14",595,4.214
"5701","1994","No Contest",685,2.415
"5702","1962","Requiem for a Heavyweight",354,3.765
"5703","1981","Lucio Fulci: The House by the Cemetery",123,3.092
"5704","1997","Seven Years in Tibet",225,3.577
"5705","2002","Star Wars: Episode II: Attack of the Clones: Bonus Material",200,3.518
"5706","1966","The Silencers",133,3.222
"5707","1998","Down in the Delta",651,3.507
"5708","2000","The Art of War",467,3.26
"5709","1997","Hollywood Confidential",164,2.954
"5710","2002","Possession",717,3.175
"5711","1995","New Jersey Drive",528,3.253
"5712","1999","The Hunchback of Notre Dame",221,3.218
"5713","2000","Backlash",437,2.557
"5714","1974","Upstairs,Downstairs: Season 4",304,4.291
"5715","2004","Phil of the Future: Gadgets and Gizmos",31,2.982
"5716","2003","Devil's Pond",558,3.029
"5717","2001","Recording the Producers: A Musical Romp with Mel Brooks",150,3.507
"5718","1960","From the Terrace",671,3.625
"5719","2000","Dhadkan",769,3.252
"5720","2004","The Cutting Edge: The Magic of Movie Editing",241,3.597
"5721","1992","Johnny Suede",757,2.79
"5722","2000","Born to Be King: Young and Dangerous 6",613,3.267
"5723","1995","Miyuki-chan in Wonderland",842,2.731
"5724","2004","Playmakers",681,3.918
"5725","1999","Pleasurecraft",216,2.597
"5726","1980","Ram Balram",459,2.901
"5727","1984","The Last Starfighter",80,3.601
"5728","1998","Heaven",249,2.753
"5729","1992","The Winter Stallion",761,2.875
"5730","2005","XXX: State of the Union",11,3.248
"5731","1938","You Can't Take It With You",4,3.833
"5732","1990","GoodFellas: Special Edition",397,4.284
"5733","1982","Gil Scott-Heron: Black Wax/Is That Jazz?",124,3.277
"5734","2002","The Hard Word",133,2.732
"5735","1962","Carnival of Souls",55,3.094
"5736","2005","UFC 51: Ultimate Fighting Championship: Super Saturday",261,4.094
"5737","1999","Two Ninas",345,3.016
"5738","2003","Alias: Season 3",618,4.377
"5739","2001","Linkin Park: Frat Party at the Pankake Festival",374,3.78
"5740","1990","A.D. Police Files 1-3",744,3.13
"5741","1970","Trash",62,2.586
"5742","1942","The Palm Beach Story",615,3.823
"5743","1997","Black Thunder",548,2.365
"5744","2001","Mimic 2: Hardshell",842,2.643
"5745","1977","The Jacques Cousteau Odyssey: The Complete Series",187,3.01
"5746","2003","The Wiggles: Space Dancing",601,2.987
"5747","1992","When It Was a Game",8,3.619
"5748","2003","Variable Geo",337,3.094
"5749","1997","The Woodlanders",400,2.878
"5750","1988","Messenger of Death",860,2.91
"5751","2002","Eight Crazy Nights",118,2.88
"5752","1997","China Gate",593,2.554
"5753","1989","Francesco",556,2.483
"5754","2004","The Great Aviator: Howard Hughes",355,2.919
"5755","1992","Edward II",56,2.645
"5756","2003","Men Suddenly in Black",145,2.801
"5757","1957","Do Ankhen Barah Haath",544,2.84
"5758","1981","The Aviator's Wife",133,2.72
"5759","2003","Empires: Kingdom of David: The Saga of the Israelites",332,2.991
"5760","2001","The Sopranos: Season 3",329,4.444
"5761","2001","Dawson's Creek: Season 5",208,3.929
"5762","2000","Almost Famous",411,3.837
"5763","2004","Earthquake: Nature Unleashed",119,2.469
"5764","2003",".hack//Legend of the Twilight",157,3.921
"5765","2000","Shiloh",474,3.623
"5766","1998","Final Cut",740,2.444
"5767","2003","Bonhoeffer",441,3.608
"5768","2002","Ultimate X",639,3.293
"5769","1999","Kripalu Yoga: Gentle/ Dynamic/ Partner",135,2.85
"5770","2000","Christina Aguilera: Genie Gets Her Wish",94,3.013
"5771","1993","Doppelganger",568,2.612
"5772","2004","WWE: No Way Out",288,3.602
"5773","1946","Angel on My Shoulder",690,3.158
"5774","1997","Mumia Abu-Jamal: A Case For Reasonable Doubt?",30,3.117
"5775","1992","Scent of a Woman",86,3.77
"5776","2002","Eternal Blood",229,2.28
"5777","1980","Foxes",446,2.986
"5778","1990","The Godfather,Part III",133,3.678
"5779","1999","The Terrorist",132,3.1
"5780","1978","Muqaddar Ka Sikandar",502,3.427
"5781","2003","Anatomy 2",231,2.759
"5782","2003","Dora the Explorer: City of Lost Toys",373,3.848
"5783","1990","A Bullet in the Head",478,3.392
"5784","2002","Humraaz",249,3.215
"5785","2000","The Cars: Live",112,2.995
"5786","1996","Village of Dreams",752,3.134
"5787","1983","Trading Places",466,3.935
"5788","1996","Sling Blade",308,4.024
"5789","2002","Just a Dream",47,3.078
"5790","1988","The Drifter",52,2.335
"5791","1974","Let Sleeping Corpses Lie",861,2.765
"5792","2005","The Fallen Ones",318,2.078
"5793","2003","Underworld",416,3.556
"5794","1942","Roxie Hart",621,3.125
"5795","1978","Kasme Vaade",425,2.75
"5796","1965","F Troop: TV Favorites",862,3.235
"5797","1997","The Well",379,2.397
"5798","1978","Dallas: Seasons 1 & 2",856,3.717
"5799","1983","Jackie Chan's Project A",518,3.248
"5800","2001","Stranger Inside",21,2.919
"5801","2004","Fairly Oddparents: Channel Chasers",765,3.833
"5802","2005","Who's Your Daddy",644,2.725
"5803","1980","Zombie Lake",471,2.032
"5804","2001","Martial Angels",407,2.747
"5805","1998","Mr. Show: Season 4",454,4.117
"5806","2004","Riding the Bullet",609,2.586
"5807","2004","Raising Helen",554,3.551
"5808","1999","Charmed: Season 2",471,4.056
"5809","1988","Eight Men Out",237,3.666
"5810","2004","MLB: 2004 World Series",303,3.842
"5811","1996","Carried Away",423,2.803
"5812","1992","Pure Country",420,3.716
"5813","2001","Diana Krall: Live in Paris",723,3.973
"5814","2002","One Hour Photo",438,2.994
"5815","2001","Kill Me Later",77,2.86
"5816","1971","Mary Tyler Moore: Season 2",519,3.897
"5817","2004","Dogs and More Dogs",686,3.549
"5818","2004","A Prairie Home Companion with Garrison Keillor",439,3.67
"5819","2001","Bruce Springsteen and the E Street Band: Live in New York City",371,3.703
"5820","1997","True Women",375,3.466
"5821","1999","Xena: Warrior Princess: Season 5",210,4.012
"5822","2005","Bionicle 3: Web of Shadows",829,3.889
"5823","2003","Mary-Kate & Ashley: The Challenge",70,3.074
"5824","1971","The Euroshock Collection: Psychomania",555,2.644
"5825","1993","Best of the Best 3 & 4",276,2.768
"5826","1995","Indictment: The McMartin Trial",699,3.567
"5827","1995","Jupiter's Wife",494,2.895
"5828","2003","Shania Twain: Up! Live in Chicago",506,3.702
"5829","1990","Waiting for the Light",693,3.034
"5830","1996","Triumph of the Nerds",194,3.899
"5831","2001","Bluehill Avenue",238,3.495
"5832","2002","Con Express",679,2.676
"5833","1968","Bandolero!",446,3.264
"5834","2003","WWE: Royal Rumble 2003",89,3.866
"5835","2004","Dario Argento's The Card Player",121,2.556
"5836","2004","Win a Date with Tad Hamilton!",8,3.195
"5837","1999","Friends: Season 7",167,4.318
"5838","2003","Black Cadillac",507,2.787
"5839","1993","Confessions of Sorority Girls",208,1.94
"5840","1986","Black Adder II",507,4.057
"5841","2002","Julius Caesar",666,3.391
"5842","2004","Mickey",6,3.465
"5843","2000","Curb Your Enthusiasm: Season 1",135,3.935
"5844","2000","Cupid & Cate",640,3.015
"5845","1978","Midnight Express",258,3.898
"5846","1971","Bay of Blood",486,2.66
"5847","1984","A Passage to India",224,3.593
"5848","1995","Gunsmith Cats: Bulletproof",691,3.814
"5849","2004","Superstars of '70s Soul Live",771,3.521
"5850","1997","Laser Mission",720,1.907
"5851","2003","The Last Days of the Civil War",367,3.467
"5852","2001","Final Stab",740,2.126
"5853","2005","Embedded/Live",405,2.868
"5854","1967","In the Heat of the Night",67,3.959
"5855","1968","Young Torless",372,3.12
"5856","2000","The Princess and the Warrior",553,3.577
"5857","1992","Citizen Cohn",731,3.28
"5858","1993","My Boyfriend's Back",845,2.366
"5859","2003","Alibi",744,3.119
"5860","2002","September 11",137,2.806
"5861","1994","Drop Zone",685,3.27
"5862","2000","Memento",766,3.851
"5863","1945","The Three Stooges: Curly Classics",136,3.75
"5864","2002","Phish: Live in Vegas",286,3.771
"5865","2004","ZZ Top: Greatest Hits: The Video Collection",244,3.479
"5866","2002","July Rhapsody",486,2.845
"5867","1947","Till the Clouds Roll By",692,2.983
"5868","2000","Stephen Sondheim's Putting It Together",583,3.512
"5869","2002","The Emperor's New Clothes",59,3.249
"5870","2000","Jack Frost 2: Revenge of the Mutant Killer Snowman",153,2.283
"5871","2004","Barbra Streisand: The Concert: Live at the MGM Grand",129,3.677
"5872","2000","Short: International Release",286,2.289
"5873","2001","L.A.P.D.: To Protect and Serve",632,2.141
"5874","1996","Element of Doubt",234,2.68
"5875","1999","The Other Sister",221,3.629
"5876","1961","Two Women",375,3.554
"5877","2000","George Washington",316,3.264
"5878","1999","Web of Seduction",752,2.86
"5879","1989","Document of the Dead",479,3.129
"5880","2004","The DC Video (Deluxe Edition)",542,3.774
"5881","2001","Lagaan",502,3.67
"5882","1992","Medicine Man",766,3.344
"5883","1999","My Voyage to Italy",12,3.552
"5884","1999","Saturday Night Live: The Best of Mike Myers",243,3.763
"5885","2004","Hello Kitty & Friends",795,3.04
"5886","2000","The X-Files: Season 3",329,4.253
"5887","2000","Banner of the Stars II",418,3.884
"5888","1986","Cheers: Season 5",26,4.053
"5889","2000","Love Come Down",180,2.891
"5890","1985","Transylvania 6-5000",106,2.713
"5891","1999","Grey Owl",316,3.203
"5892","2005","WWE: Wrestlemania 21",89,3.893
"5893","2001","Lost Voyage",414,2.616
"5894","1993","Hard Target",249,2.999
"5895","2001","The Majestic",88,3.445
"5896","2001","Winning London",522,3.497
"5897","2003","Jeepers Creepers 2",528,3.071
"5898","1992","Mystery Science Theater 3000: Hercules Against the Moon Men",127,3.974
"5899","1991","Rush",648,3.536
"5900","1999","Cleopatra",524,3.162
"5901","2004","The Forgetting: A Portrait of Alzheimer's",473,3.674
"5902","2002","R.S.V.P.",632,2.596
"5903","1991","The Hard Way",133,2.967
"5904","1962","The Counterfeit Traitor",281,3.484
"5905","1998","The Worst Witch: Miss Cackle's Birthday Surprise",352,3.078
"5906","1992","Honeymoon in Vegas",702,3.24
"5907","1956","Godzilla: King of the Monsters",311,3.274
"5908","1931","Frankenstein / Bride of Frankenstein: The Legacy Collection",70,3.546
"5909","2004","Code 46",297,2.562
"5910","2001","Good Rockin' Tonight: The Legacy of Sun Records",13,3.178
"5911","2001","Rudyland",455,2.656
"5912","1990","I,the Worst of All",468,3.093
"5913","1994","Snowy River: The McGregor Saga The Race",34,3.092
"5914","1971","Brother John",162,2.967
"5915","1987","Slaughterhouse",497,2.244
"5916","2002","Geobreeders: Breakthrough",248,3.179
"5917","1980","Tinker,Tailor,Soldier,Spy",617,3.886
"5918","2003","Samay",498,3.271
"5919","1984","V: The Final Battle",709,3.673
"5920","1981","Eyewitness",314,2.861
"5921","2004","Genesis: Live at Wembley Stadium",114,3.452
"5922","1987","Stand and Deliver",106,3.864
"5923","1997","Gabbeh",128,3.279
"5924","2000","Snatch",147,3.848
"5925","1984","C.H.U.D.",510,2.843
"5926","1999","Fight Club",118,4.03
"5927","2001","Billy Joel: The Essential Video Collection",244,3.341
"5928","1978","Foul Play",841,3.627
"5929","2004","Willie Nelson: Live at Billy Bob's Texas",726,3.219
"5930","2002","Sweet Sixteen",137,2.979
"5931","1979","Last Hurrah for Chivalry",127,3.153
"5932","1966","Lost in Space: Season 2: Vol. 2",64,3.687
"5933","1975","Tommy",821,3.174
"5934","1992","Witchcraft IV: The Virgin Heart",356,1.837
"5935","1992","Romper Stomper: Bonus Material",370,2.739
"5936","2000","Mars: The Red Planet Collection",513,3.062
"5937","1993","The Visitors",5,3.238
"5938","1919","Male and Female",104,2.903
"5939","2001","The Mummy Returns",107,3.479
"5940","2001","Wisconsin Death Trip",544,2.83
"5941","2001","The Way We Live Now",48,3.688
"5942","1977","The Grateful Dead Movie",52,3.932
"5943","1972","The Life and Times of Judge Roy Bean",210,3.408
"5944","2000","Keiko Matsui: The Jazz Channel Presents: BET on Jazz",161,3.13
"5945","1999","Home Movies: Season 1",180,4.045
"5946","1977","Saturday Night Fever",352,3.552
"5947","1979","All That Jazz",551,3.682
"5948","1962","Long Day's Journey into Night",686,3.736
"5949","1966","The Shakiest Gun in the West / The Love God?: Double Feature",161,3.574
"5950","2004","Evel Knievel",234,2.59
"5951","2002","Twin Sisters",42,3.537
"5952","1960","Ocean's Eleven",627,3.436
"5953","2001","The Middle Passage",165,2.915
"5954","1996","Poirot: Dumb Witness",28,4.091
"5955","1956","The Man Who Knew Too Much",46,3.867
"5956","1963","Coffin Joe: At Midnight I'll Take Your Soul",829,2.674
"5957","1997","Fire Down Below",609,2.979
"5958","1992","Noises Off!",42,3.568
"5959","2003","Dreamkeeper",16,3.628
"5960","2003","Magical Shopping Arcade Abenobashi",306,3.695
"5961","1975","Trilogy of Terror",504,3.253
"5962","1990","Get a Life: TV Series",31,3.089
"5963","1925","The Gold Rush",692,3.845
"5964","1990","Ghayal",321,3.115
"5965","2004","They Are Among Us",467,2.184
"5966","1997","Other Voices,Other Rooms",582,2.616
"5967","2003","The Lizzie McGuire Movie",764,3.373
"5968","2004","Dora the Explorer: Dora's Halloween",13,3.866
